Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.65563E-13,0.000000001,0,0.974692202,0,0
1.42601E-12,0.000000003,0,0.966484268,0,0
3.09601E-12,0.00000001,0,0.943228454,0,0
4.61354E-12,0.000000025,0,0.916552668,0,0
4.40069E-11,0.000000104,0.000000002,0.887140903,0.001890359,0
5.02292E-10,0.000000281,0.000000019,0.877564979,0.003780718,0
1.07423E-9,0.000001022,0.000000042,0.871409029,0.005671078,0
1.64309E-9,0.000002514,0.000000064,0.863885089,0.005671078,0
6.48085E-9,0.000010361,0.000000251,0.849521204,0.005671078,0
8.53176E-9,0.000025607,0.000000331,0.835841313,0.007561437,0
1.10232E-8,0.000050255,0.000000427,0.81874145,0.007561437,0
1.41415E-8,0.000100196,0.000000548,0.792065663,0.007561437,0
2.39541E-8,0.000250462,0.000000928,0.736662107,0.007561437,0
4.01763E-8,0.000502498,0.000001557,0.683310534,0.007561437,0
6.97747E-8,0.001000277,0.000002704,0.621067031,0.011342155,0
1.47342E-7,0.002512395,0.00000571,0.521887825,0.017013233,0
2.80832E-7,0.005005281,0.000010882,0.441176471,0.020793951,0
5.65052E-7,0.010024166,0.000021896,0.355677155,0.039697543,0
1.98789E-6,0.025037686,0.000077027,0.259233926,0.047258979,0
6.91591E-6,0.050399516,0.000267927,0.220246238,0.069943289,0
1.48883E-5,0.100090687,0.000576606,0.187414501,0.11342155,0
3.77086E-5,0.200660901,0.001459116,0.158002736,0.128544423,0
6.79325E-5,0.304238615,0.002625541,0.14500684,0.143667297,0
9.54272E-5,0.402523299,0.003684278,0.136798906,0.145557656,0
1.14471E-4,0.510028969,0.004416274,0.12995896,0.151228733,0
1.22904E-4,0.605057192,0.004740064,0.124487004,0.155009452,0
1.43873E-4,0.713580182,0.005544316,0.119015048,0.156899811,0
1.53781E-4,0.758943839,0.005923856,0.116963064,0.156899811,0
1.63702E-4,0.807407486,0.00630363,0.114911081,0.156899811,0
1.91164E-4,0.914644499,0.007353332,0.110807114,0.160680529,0
2.04745E-4,1.014494485,0.007871604,0.107387141,0.162570888,0
2.26014E-4,1.100476302,0.008682224,0.104651163,0.164461248,0
2.38059E-4,1.201471607,0.009140717,0.10123119,0.168241966,0
2.73339E-4,1.324264194,0.010481149,0.098495212,0.170132325,0
2.82806E-4,1.408863583,0.010840215,0.096443228,0.170132325,0
3.12816E-4,1.530535295,0.011976767,0.09370725,0.170132325,0
3.40217E-4,1.761264677,0.013012199,0.088919289,0.175803403,0
3.83873E-4,2.014764334,0.01465743,0.084131327,0.187145558,0
4.23609E-4,2.256386769,0.016150162,0.08002736,0.192816635,0
4.54195E-4,2.521534304,0.017296079,0.075923393,0.194706994,0
4.84236E-4,2.758558758,0.018418993,0.07250342,0.196597353,0
4.96094E-4,3.004257187,0.018861532,0.069083447,0.196597353,0
5.77505E-4,3.280388831,0.021889066,0.065663475,0.196597353,0
6.17924E-4,3.507213957,0.023385211,0.062927497,0.207939509,0
6.58912E-4,3.780529665,0.024897797,0.060191518,0.217391304,0
7.3347E-4,4.061298456,0.027637171,0.05745554,0.221172023,0
7.83011E-4,4.292255591,0.029448928,0.055403557,0.224952741,0
8.20957E-4,4.503432954,0.030832042,0.053351573,0.224952741,0
8.84866E-4,4.791361615,0.033152679,0.05129959,0.238185255,0
1.04802E-3,5.031589956,0.039026963,0.049247606,0.258979206,0
1.12138E-3,5.259876293,0.041644855,0.047879617,0.266540643,0
1.22535E-3,5.567161901,0.045330904,0.046511628,0.274102079,0
