"","species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"1","Solanum acaule Bitter","South America","Argentina","Jujuy","Santa Catalina","Santa Catalina: camino de salida del pueblo",-21.9,-66.1,NA,NA,"NY","Herbarium","00745416","specimen","G. C. Giberti","1979-01-29","1979-01-29","Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Santa Catalina: camino de salida del pueblo, Jujuy, Santa Catalina, Argentina, South America"
"2","Solanum acaule Bitter","South America","Peru","Cusco","Canchis","Dist. Sicuani, Santa Barbara, Mumurani.",-13.5,-71,NA,4500,"NY","Herbarium","00962455","specimen","A. Tupayachi H.","2005-03-17","2005-03-17","Data from GBIF data index - original values.",2013-01-16,"4500","4500",NA,NA,"PE","Dist. Sicuani, Santa Barbara, Mumurani., Cusco, Canchis, Peru, South America"
"3","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Santa Victoria, East side of Abra de Lizoite.",-22.2666,-65.1333,NA,3800,"NLD037","CGN-PGR","CGN17852","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"AR","Province: Salta, Department: Santa Victoria, East side of Abra de Lizoite., Argentina"
"4","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Oruro, Province: Poopo, farm (Finke St. Helena), 5km from Plazna to Lago Poopo.",-18.6333,-66.95,NA,3700,"NLD037","CGN-PGR","CGN20620","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3700",NA,NA,"BO","Department: Oruro, Province: Poopo, farm (Finke St. Helena), 5km from Plazna to Lago Poopo., Bolivia"
"5","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Potosi, Province: Chayanta, 37km from Colquechaca to Ocuri.",-18.8,-65.8833,NA,4080,"NLD037","CGN-PGR","CGN22710","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4080",NA,NA,"BO","Department: Potosi, Province: Chayanta, 37km from Colquechaca to Ocuri., Bolivia"
"6","Solanum acaule f. acaule",NA,"Bolivia",NA,NA,"Department: Potosi, Province: Chayanta, 4km from Ocuri to Colquechaca.",-18.8333,-65.8833,NA,3780,"NLD037","CGN-PGR","CGN18179","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3780",NA,NA,"BO","Department: Potosi, Province: Chayanta, 4km from Ocuri to Colquechaca., Bolivia"
"7","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Humahuaca",-23.2166,-65.7,NA,4300,"NLD037","CGN-PGR","CGN17912","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4300",NA,NA,"AR","Province: Jujuy, Department: Humahuaca, Argentina"
"8","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: La Rioja, Department: Famatina, Sierra Famatina, La Encrucijada, just above in a small valley.",-28.9666,-67.7,NA,3250,"NLD037","CGN-PGR","CGN24371","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3250",NA,NA,"AR","Province: La Rioja, Department: Famatina, Sierra Famatina, La Encrucijada, just above in a small valley., Argentina"
"9","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Jujuy, Department: Tilcara",-23.5833,-65.2,NA,4000,"NLD037","CGN-PGR","CGN17925","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"AR","Province: Jujuy, Department: Tilcara, Argentina"
"10","Solanum acaule f. acaule",NA,"Argentina",NA,NA,"Province: Salta, Department: Chicoana, 15km above Escoipe on the road to Cachi, Cuesta del Obispo.",-25.1666,-65.7666,NA,2950,"NLD037","CGN-PGR","CGN24290","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"2950",NA,NA,"AR","Province: Salta, Department: Chicoana, 15km above Escoipe on the road to Cachi, Cuesta del Obispo., Argentina"
