"x"	"y"
23.75	61.25
10.25	60.25
10.25	59.25
15.75	57.25
18.25	57.25
18.75	57.25
9.25	56.75
9.75	56.75
41.75	56.75
53.25	56.75
9.25	56.25
9.75	56.25
10.25	56.25
12.75	56.25
13.75	56.25
14.25	56.25
8.75	55.75
9.25	55.75
12.25	55.75
12.75	55.75
13.25	55.75
13.75	55.75
14.25	55.75
41.25	55.75
42.25	55.75
12.25	55.25
13.25	55.25
41.25	55.25
43.75	55.25
20.25	54.75
40.25	54.75
41.25	54.75
9.25	54.25
9.75	54.25
35.75	54.25
36.25	54.25
40.25	54.25
48.25	54.25
48.75	54.25
-1.25	53.75
10.25	53.75
51.25	53.75
6.75	53.25
10.25	53.25
34.25	53.25
47.75	53.25
49.25	53.25
49.75	53.25
11.25	52.75
13.25	52.75
44.75	52.75
4.25	52.25
4.75	52.25
5.25	52.25
9.25	52.25
9.75	52.25
10.25	52.25
10.75	52.25
12.75	52.25
13.25	52.25
13.75	52.25
34.75	52.25
47.25	52.25
4.25	51.75
5.75	51.75
9.75	51.75
10.75	51.75
12.25	51.75
13.75	51.75
14.25	51.75
39.25	51.75
3.25	51.25
4.25	51.25
5.75	51.25
6.25	51.25
9.75	51.25
10.25	51.25
11.75	51.25
12.25	51.25
12.75	51.25
13.75	51.25
14.25	51.25
14.75	51.25
29.75	51.25
30.75	51.25
31.25	51.25
41.75	51.25
3.25	50.75
4.75	50.75
6.75	50.75
7.75	50.75
9.75	50.75
10.75	50.75
12.25	50.75
13.75	50.75
14.25	50.75
15.25	50.75
30.25	50.75
30.75	50.75
31.25	50.75
35.75	50.75
37.75	50.75
39.75	50.75
46.75	50.75
7.25	50.25
7.75	50.25
8.25	50.25
8.75	50.25
9.75	50.25
10.25	50.25
10.75	50.25
11.25	50.25
11.75	50.25
13.25	50.25
13.75	50.25
14.25	50.25
14.75	50.25
15.75	50.25
18.75	50.25
19.25	50.25
22.75	50.25
24.25	50.25
30.25	50.25
30.75	50.25
31.25	50.25
31.75	50.25
32.25	50.25
32.75	50.25
34.75	50.25
36.25	50.25
36.75	50.25
40.25	50.25
6.75	49.75
7.75	49.75
8.25	49.75
8.75	49.75
9.75	49.75
10.75	49.75
11.25	49.75
12.25	49.75
13.25	49.75
14.25	49.75
17.75	49.75
18.25	49.75
23.25	49.75
23.75	49.75
25.25	49.75
30.25	49.75
31.25	49.75
36.25	49.75
39.25	49.75
6.75	49.25
7.25	49.25
8.25	49.25
8.75	49.25
10.75	49.25
11.25	49.25
12.25	49.25
12.75	49.25
13.75	49.25
14.25	49.25
16.25	49.25
16.75	49.25
17.25	49.25
17.75	49.25
21.25	49.25
22.25	49.25
24.75	49.25
31.25	49.25
37.75	49.25
38.75	49.25
39.75	49.25
40.25	49.25
2.25	48.75
2.75	48.75
6.25	48.75
6.75	48.75
8.25	48.75
9.25	48.75
12.25	48.75
12.75	48.75
14.25	48.75
15.25	48.75
16.25	48.75
16.75	48.75
17.25	48.75
17.75	48.75
19.25	48.75
20.75	48.75
21.75	48.75
22.25	48.75
25.75	48.75
26.25	48.75
26.75	48.75
29.25	48.75
30.25	48.75
35.25	48.75
37.75	48.75
39.25	48.75
39.75	48.75
40.25	48.75
7.75	48.25
9.75	48.25
10.25	48.25
10.75	48.25
11.25	48.25
11.75	48.25
12.75	48.25
13.25	48.25
15.25	48.25
15.75	48.25
16.25	48.25
16.75	48.25
17.25	48.25
17.75	48.25
18.75	48.25
19.25	48.25
19.75	48.25
21.25	48.25
22.25	48.25
22.75	48.25
23.25	48.25
23.75	48.25
24.25	48.25
25.25	48.25
25.75	48.25
26.25	48.25
26.75	48.25
27.25	48.25
27.75	48.25
28.25	48.25
37.75	48.25
38.25	48.25
38.75	48.25
39.25	48.25
43.25	48.25
7.75	47.75
8.75	47.75
10.25	47.75
10.75	47.75
15.75	47.75
16.25	47.75
16.75	47.75
17.25	47.75
17.75	47.75
18.25	47.75
18.75	47.75
19.25	47.75
20.25	47.75
21.75	47.75
22.25	47.75
22.75	47.75
24.25	47.75
25.75	47.75
26.25	47.75
26.75	47.75
27.25	47.75
28.75	47.75
7.75	47.25
8.25	47.25
9.25	47.25
10.75	47.25
11.25	47.25
13.75	47.25
14.25	47.25
15.25	47.25
16.25	47.25
16.75	47.25
17.25	47.25
18.25	47.25
18.75	47.25
19.25	47.25
19.75	47.25
22.25	47.25
23.25	47.25
23.75	47.25
24.75	47.25
25.25	47.25
26.25	47.25
26.75	47.25
27.25	47.25
27.75	47.25
28.25	47.25
28.75	47.25
38.25	47.25
40.25	47.25
3.25	46.75
6.25	46.75
13.75	46.75
15.75	46.75
17.25	46.75
17.75	46.75
19.25	46.75
21.75	46.75
22.25	46.75
22.75	46.75
23.25	46.75
23.75	46.75
24.25	46.75
24.75	46.75
25.25	46.75
25.75	46.75
26.25	46.75
26.75	46.75
27.25	46.75
27.75	46.75
37.25	46.75
6.25	46.25
7.25	46.25
17.25	46.25
18.25	46.25
19.25	46.25
19.75	46.25
20.25	46.25
20.75	46.25
21.25	46.25
21.75	46.25
22.75	46.25
23.25	46.25
23.75	46.25
24.25	46.25
24.75	46.25
25.75	46.25
26.25	46.25
26.75	46.25
27.25	46.25
27.75	46.25
29.25	46.25
13.75	45.75
17.25	45.75
17.75	45.75
18.25	45.75
18.75	45.75
19.25	45.75
19.75	45.75
20.25	45.75
21.25	45.75
21.75	45.75
22.75	45.75
23.25	45.75
23.75	45.75
24.25	45.75
24.75	45.75
25.25	45.75
25.75	45.75
26.25	45.75
26.75	45.75
27.25	45.75
28.25	45.75
16.25	45.25
17.25	45.25
19.25	45.25
19.75	45.25
20.25	45.25
20.75	45.25
21.25	45.25
21.75	45.25
22.25	45.25
22.75	45.25
23.25	45.25
24.25	45.25
24.75	45.25
25.25	45.25
25.75	45.25
26.25	45.25
26.75	45.25
28.25	45.25
17.25	44.75
18.25	44.75
20.25	44.75
20.75	44.75
21.25	44.75
21.75	44.75
22.25	44.75
22.75	44.75
23.25	44.75
25.75	44.75
26.25	44.75
26.75	44.75
27.25	44.75
33.75	44.75
10.25	44.25
18.25	44.25
18.75	44.25
19.25	44.25
19.75	44.25
20.25	44.25
21.75	44.25
22.25	44.25
24.75	44.25
25.75	44.25
26.25	44.25
42.25	44.25
10.75	43.75
18.25	43.75
19.25	43.75
20.75	43.75
21.75	43.75
22.25	43.75
22.75	43.75
23.25	43.75
25.75	43.75
26.25	43.75
26.75	43.75
42.25	43.75
20.75	43.25
21.75	43.25
22.25	43.25
22.75	43.25
23.75	43.25
26.75	43.25
27.75	43.25
18.25	42.75
20.25	42.75
20.75	42.75
21.25	42.75
21.75	42.75
22.25	42.75
22.75	42.75
23.25	42.75
24.25	42.75
24.75	42.75
25.25	42.75
27.25	42.75
20.25	42.25
21.75	42.25
22.75	42.25
23.25	42.25
23.75	42.25
24.75	42.25
31.25	41.25
