"x"	"y"
-137.75	60.75
-132.25	60.25
-134.75	59.75
-129.25	59.25
-129.75	58.75
-129.75	56.75
-129.25	56.25
-128.75	55.75
-128.25	55.75
-124.25	55.75
-122.25	55.75
-121.75	55.75
-120.25	55.75
-129.25	55.25
-127.75	55.25
-123.25	55.25
-121.25	55.25
-128.75	54.75
-128.25	54.75
-127.25	54.75
-124.25	54.75
-122.75	54.75
-128.75	54.25
-128.25	54.25
-126.75	54.25
-125.25	54.25
-124.25	54.25
-120.75	54.25
-120.25	54.25
-126.75	53.75
-126.25	53.75
-125.25	53.75
-123.25	53.75
-121.75	53.75
-122.75	53.25
-122.25	53.25
-120.75	53.25
-125.25	52.75
-123.75	52.75
-121.25	52.75
-120.25	52.75
-119.25	52.75
-99.75	52.75
-125.75	52.25
-122.75	52.25
-122.25	52.25
-121.75	52.25
-122.75	51.75
-122.25	51.75
-120.25	51.75
-127.25	51.25
-125.75	51.25
-122.25	51.25
-121.75	51.25
-120.25	51.25
-127.25	50.75
-122.75	50.75
-121.75	50.75
-121.25	50.75
-120.75	50.75
-120.25	50.75
-119.75	50.75
-126.75	50.25
-122.75	50.25
-121.75	50.25
-121.25	50.25
-120.75	50.25
-126.75	49.75
-125.75	49.75
-125.25	49.75
-121.25	49.75
-120.75	49.75
-116.75	49.75
-114.25	49.75
-125.75	49.25
-124.75	49.25
-123.75	49.25
-122.75	49.25
-122.25	49.25
-121.75	49.25
-121.25	49.25
-120.75	49.25
-119.25	49.25
-118.75	49.25
-118.25	49.25
-117.75	49.25
-117.25	49.25
-115.25	49.25
-114.75	49.25
-98.75	49.25
-124.75	48.75
-123.25	48.75
-121.25	48.75
-120.75	48.75
-119.75	48.75
-118.25	48.75
-117.75	48.75
-117.25	48.75
-116.75	48.75
-115.25	48.75
-114.75	48.75
-114.25	48.75
-113.75	48.75
-113.25	48.75
-112.75	48.75
-111.25	48.75
-103.75	48.75
-123.75	48.25
-123.25	48.25
-122.75	48.25
-122.25	48.25
-121.75	48.25
-121.25	48.25
-120.25	48.25
-119.75	48.25
-117.75	48.25
-117.25	48.25
-116.75	48.25
-116.25	48.25
-115.75	48.25
-115.25	48.25
-114.25	48.25
-113.75	48.25
-113.25	48.25
-112.75	48.25
-112.25	48.25
-111.75	48.25
-111.25	48.25
-109.75	48.25
-103.75	48.25
-103.25	48.25
-102.75	48.25
-102.25	48.25
-100.75	48.25
-100.25	48.25
-98.25	48.25
-83.25	48.25
-122.75	47.75
-122.25	47.75
-121.25	47.75
-120.75	47.75
-118.25	47.75
-117.75	47.75
-117.25	47.75
-116.75	47.75
-116.25	47.75
-115.75	47.75
-115.25	47.75
-114.75	47.75
-114.25	47.75
-113.75	47.75
-113.25	47.75
-112.75	47.75
-112.25	47.75
-111.75	47.75
-110.75	47.75
-109.25	47.75
-104.75	47.75
-104.25	47.75
-103.75	47.75
-103.25	47.75
-100.75	47.75
-98.25	47.75
-96.25	47.75
-95.75	47.75
-95.25	47.75
-121.75	47.25
-121.25	47.25
-120.75	47.25
-120.25	47.25
-119.25	47.25
-118.25	47.25
-117.25	47.25
-116.75	47.25
-116.25	47.25
-115.75	47.25
-115.25	47.25
-114.75	47.25
-114.25	47.25
-113.75	47.25
-113.25	47.25
-112.75	47.25
-112.25	47.25
-111.25	47.25
-109.75	47.25
-109.25	47.25
-108.25	47.25
-105.75	47.25
-101.75	47.25
-99.75	47.25
-95.25	47.25
-94.75	47.25
-88.75	47.25
-121.25	46.75
-120.75	46.75
-120.25	46.75
-117.75	46.75
-117.25	46.75
-116.75	46.75
