"field1","field2","field3","entity","class","taxonSpecific","constrainedValues","family","examples","description"
"authorship",NA,NA,"rmmName","character","no","NULL","base","MerowMaitnerOwensKassEnquistGuralnick_2018_Acer_Maxent_b3","Use the format Author_Year_Taxa_Model_fw, where the last two characters (here, fw) are alphanumeric and random."
"authorship",NA,NA,"names","character vector","no","NULL","base","Merow, Cory and Maitner, Brian and Owens, Hannah and Kass, Jamie and Enquist, Brian and Guralnick, Rob;","The names of those who created this model. Use the format Last, First and Last, First and Last, First, following bibtex conventions."
"authorship",NA,NA,"license","character","no","CC; CC BY; CC BY-SA; CC BY-ND; CC BY-NC; CC BY-NC-SA; CC BY-NC-ND; other","base","CC; CC BY; CC BY-SA; CC BY-ND; CC BY-NC; CC BY-NC-SA; CC BY-NC-ND","The license under which this model has been produced.  See https://creativecommons.org/licenses/ for common options."
"authorship",NA,NA,"contact","character","no","NULL","base","my.name@gmail.com","An email address for someone responsible for creating this model."
"authorship",NA,NA,"relatedReferences","character vector","no","NULL","base","@article{maitner2017bien,title={The bien r package: A tool to access the Botanical Information and Ecology Network (BIEN) database},author={Maitner, Brian S and Boyle, Brad and Casler, Nathan and Condit, Rick and Donoghue, John and Dur{\'a}n, Sandra M and Guaderrama, Daniel and Hinchliff, Cody E and J{\o}rgensen, Peter M and Kraft, Nathan JB and others},journal={Methods in Ecology and Evolution}, year={2017},publisher={Wiley Online Library}}","A single bibtex format citation or vector of citations; User specified"
"authorship",NA,NA,"authorNotes","character","no","NULL","base","All authors contributed equally to the production of these models.","User specified. Any information related to author/ownership."
"authorship",NA,NA,"miscNotes","character","no","NULL","base","Funded by NSF grant xxxx","User specified; Any context for the models that didn't fit elsewhere"
"authorship",NA,NA,"doi","character","no","NULL","base","https://doi.org/10.1111/j.1600-0587.2013.07872.x","Digital Object Identifier for manuscripts related to the model"
"studyObjective",NA,NA,"purpose","character","no","explanation; prediction; projection","base","projection","See definitions in  Araujo et al. (2019, Science Advances;  10.1126/sciadv.aat4858)"
"studyObjective",NA,NA,"rangeType","character","no","potential;suitableArea;fundamental;realized;occupied; other;","base","potential; realized","Type of range the study focuses on. Use 'potential' if describing suitable habitat that may be occupied or unoccupied. Use 'realized' when describing only locations that are occupied."
