date version nhelpfiles nobjects ndatasets Rlines srclines
"2017-09-08" "1.0-0" 55 0 54 0 0
"2017-09-13" "1.0-1" 55 0 54 0 0
"2017-09-21" "1.1-0" 56 0 54 0 0
"2017-10-11" "1.1-1" 56 0 54 0 0
"2017-11-15" "1.2-0" 57 0 55 0 0
"2017-11-23" "1.2-1" 57 0 55 0 0
"2018-03-04" "1.3-0" 57 0 55 0 0
"2018-06-11" "1.3-1" 57 0 55 0 0
"2018-09-07" "1.3-2" 57 0 55 0 0
"2020-12-06" "1.6-2" 58 0 56 0 0
"2020-12-16" "1.7-0" 58 0 56 0 0
"2021-02-10" "2.0-0" 58 0 56 0 0
"2021-03-13" "2.0-1" 58 0 56 0 0
"2021-12-17" "2.1-2" 59 0 57 0 0
"2022-10-20" "3.0-0" 60 0 58 0 0
"2023-03-12" "3.0-1" 60 0 58 0 0
"2023-10-24" "3.0-2" 60 0 58 0 0
"2023-10-24" "3.0-3" 60 0 58 0 0
"2024-06-21" "3.1-0" 60 0 58 0 0
"2024-06-21" "3.1-1" 60 0 58 0 0
"2024-06-21" "3.1-2" 60 0 58 0 0
"2024-11-15" "3.1-3" 61 0 59 0 0
"2025-03-17" "3.1-6" 62 0 60 0 0
"2025-08-18" "3.1-8" 62 0 60 0 0
"2025-09-12" "3.1-9" 62 0 60 0 0
