date version nhelpfiles nobjects ndatasets Rlines srclines
"2022-05-25" "3.0-0" 224 500 0 30319 6183
"2022-11-08" "3.0-4" 226 507 0 30638 6295
"2023-01-26" "3.0-6" 226 507 0 30644 6295
"2023-03-14" "3.1-0" 227 508 0 30724 6295
"2023-05-10" "3.2-0" 234 523 0 31541 6365
"2023-05-13" "3.2-1" 234 523 0 31561 6365
"2023-09-07" "3.2-3" 235 523 0 31638 6365
"2023-10-22" "3.2-5" 236 524 0 31769 6365
"2024-01-31" "3.2-6" 241 535 0 32147 6365
"2024-03-21" "3.2-7" 241 535 0 32149 6365
"2024-07-09" "3.3-1" 230 517 0 31571 6365
"2024-08-20" "3.3-2" 230 517 0 31571 6364
"2024-10-22" "3.3-3" 235 525 0 31903 6364
"2025-03-20" "3.4-0" 240 534 0 33260 6364
"2025-05-21" "3.4-3" 240 537 0 33450 6364
"2025-07-20" "3.5-0" 242 562 0 34429 6364
"2025-07-22" "3.5-2" 242 564 0 34447 6364
"2025-09-22" "3.5-3" 242 565 0 34506 6364
"2025-11-22" "3.6-0" 246 574 0 34848 6364
"2026-01-22" "3.7-0" 246 575 0 34944 6364
"2026-03-22" "3.8-0" 248 582 0 35320 6364
