date version nhelpfiles nobjects ndatasets Rlines srclines
"2020-12-14" "1.65-0" 433 1158 0 33577 15156
"2021-01-09" "1.65-1" 433 1158 0 33606 15157
"2021-01-12" "1.65-4" 433 1158 0 33612 15157
"2021-02-17" "1.65-7" 433 1158 0 33614 15157
"2021-03-07" "1.65-8" 433 1158 0 33614 15104
"2021-03-19" "2.0-1" 433 1158 0 33616 15104
"2021-04-15" "2.1-0" 433 1158 0 33674 15115
"2021-06-15" "2.2-0" 434 1159 0 33744 15115
"2021-10-09" "2.3-0" 440 1175 0 34553 15173
"2021-12-10" "2.3-1" 440 1176 0 34643 15173
"2022-02-12" "2.3-2" 440 1176 0 34657 15173
"2022-03-28" "2.4-0" 441 1178 0 34804 15188
"2022-10-22" "3.0-0" 442 1182 0 35107 15531
"2022-10-23" "3.0-3" 442 1182 0 35107 15596
"2023-01-22" "3.0-5" 445 1190 0 35297 15596
"2023-01-30" "3.0-6" 445 1190 0 35307 15596
"2023-03-12" "3.1-0" 449 1199 0 35694 15596
"2023-05-09" "3.2-0" 449 1200 0 35837 15596
"2023-05-09" "3.2-1" 450 1202 0 35837 15621
"2023-07-03" "3.2-2" 450 1202 0 35864 15621
"2023-07-20" "3.2-3" 450 1203 0 35915 15747
"2023-07-20" "3.2-4" 450 1203 0 35915 15747
"2023-09-05" "3.2-5" 450 1203 0 35948 15822
"2023-10-19" "3.2-6" 451 1203 0 35983 15822
"2023-10-20" "3.2-7" 451 1203 0 35983 15822
"2024-01-26" "3.2-8" 452 1204 0 36234 15822
"2024-02-28" "3.2-9" 452 1209 0 36325 15824
"2024-07-05" "3.3-0" 442 1186 0 35638 15596
"2024-07-09" "3.3-2" 442 1186 0 35638 15596
"2024-09-18" "3.3-3" 443 1187 0 35818 15596
"2024-11-18" "3.3-4" 444 1190 0 35978 15596
"2025-03-18" "3.3-6" 446 1196 0 36273 15596
"2025-05-20" "3.4-1" 446 1197 0 36615 15596
"2025-07-20" "3.5-0" 452 1221 0 37348 15597
"2025-09-20" "3.6-0" 452 1234 0 37569 15597
"2025-11-20" "3.6-1" 452 1234 0 37629 15597
"2026-01-20" "3.7-0" 455 1243 0 38236 15597
"2026-03-20" "3.7-1" 460 1255 0 38833 16022
"2026-03-21" "3.7-2" 460 1255 0 38842 16022
"2026-03-23" "3.7-3" 460 1255 0 38842 16022
