date version nhelpfiles nobjects ndatasets Rlines srclines
"2022-01-05" "2.0-0" 77 141 0 8561 7538
"2022-02-12" "2.1-0" 78 144 0 8711 7538
"2022-03-29" "2.2-0" 78 145 0 8924 7538
"2022-11-02" "3.0-1" 78 145 0 8978 7403
"2022-11-06" "3.0-2" 79 149 0 9158 7403
"2023-01-25" "3.1-3" 80 160 0 11263 9229
"2023-03-13" "3.1-4" 82 163 0 11301 9229
"2023-05-10" "3.1-5" 82 163 0 11303 9229
"2023-10-20" "3.2-0" 82 169 0 11681 9229
"2023-10-21" "3.2-1" 82 169 0 11690 9229
"2023-11-29" "3.2-2" 82 169 0 11690 9201
"2024-07-09" "3.3-1" 81 169 0 11637 9202
"2024-09-18" "3.3-2" 81 169 0 11640 9202
"2025-03-19" "3.3-3" 81 169 0 11701 9202
"2025-05-20" "3.4-1" 81 180 0 12195 9202
"2025-09-21" "3.4-2" 81 182 0 12262 9202
"2025-11-21" "3.4-3" 82 182 0 12347 9202
"2026-01-21" "3.4-4" 82 179 0 12329 9202
"2026-03-22" "3.4-5" 85 184 0 12678 9215
