date version nhelpfiles nobjects ndatasets Rlines srclines
"2020-05-03" "1.0-0" 4 53 0 2039 659
"2020-05-04" "1.0-1" 4 53 0 2102 732
"2020-05-05" "1.0-2" 9 53 0 2105 732
"2020-05-06" "1.0-3" 12 55 0 2105 732
"2020-05-06" "1.0-4" 12 55 0 2105 732
"2020-05-08" "1.0-5" 12 55 0 2202 732
"2020-05-09" "1.0-7" 13 55 0 2203 732
"2020-05-10" "1.0-8" 13 57 0 2206 732
"2020-05-22" "1.0-9" 13 57 0 2206 732
"2020-06-02" "1.1-0" 13 57 0 2223 732
"2021-01-06" "1.1-1" 13 57 0 2223 732
"2021-01-08" "1.2-0" 13 57 0 2223 733
"2021-02-06" "1.2-1" 13 57 0 2230 733
"2021-03-07" "1.3-0" 13 47 0 2017 733
"2021-03-13" "1.3-1" 13 47 0 2017 733
"2021-03-16" "2.0-0" 14 48 0 2059 733
"2022-10-19" "3.0-0" 15 48 0 2092 740
"2023-03-12" "3.0-1" 15 48 0 2092 740
"2023-10-24" "3.0-3" 15 48 0 2092 740
"2024-06-21" "3.1-0" 15 48 0 2092 740
"2026-05-21" "3.2-0" 18 54 0 2344 943
