date version nhelpfiles nobjects ndatasets Rlines srclines
"2024-04-10" "2.0-0" 24 43 0 1416 321
"2024-04-14" "2.0-1" 24 43 0 1416 321
"2024-06-28" "3.0-0" 30 58 0 1711 321
"2024-09-05" "3.0-1" 30 60 0 1742 321
"2024-11-05" "3.1-0" 36 68 0 2571 2233
"2024-11-05" "3.1-1" 36 68 0 2571 2235
"2025-03-05" "3.1-2" 36 68 0 2577 2235
"2025-05-07" "3.1-3" 36 70 0 2595 2235
"2025-07-13" "3.1-4" 36 70 0 2669 2235
"2025-11-17" "3.1-5" 36 70 0 2673 2235
"2026-01-17" "3.1-6" 36 70 0 2690 2235
"2026-02-18" "3.1-7" 36 70 0 2733 2235
"2026-05-18" "3.2-0" 38 77 0 3094 2511
