date version nhelpfiles nobjects ndatasets Rlines srclines
"2017-02-23" "1.3-3" 24 159 0 3038 1714
"2017-03-21" "1.4-1" 24 159 0 3048 1714
"2017-05-06" "1.6-0" 27 163 0 3172 1919
"2017-08-09" "1.7-0" 27 163 0 3190 1919
"2017-08-23" "1.7-1" 27 163 0 3190 1919
"2017-11-20" "1.8-0" 27 163 0 3222 1944
"2018-01-23" "1.8-1" 27 163 0 3222 1944
"2018-06-14" "1.8-2" 27 163 0 3228 1944
"2018-07-28" "1.9-0" 28 164 0 3256 1944
"2018-10-01" "1.10-0" 28 165 0 3260 1944
"2018-10-15" "1.11-0" 29 168 0 3296 1944
"2018-10-19" "1.12-0" 30 169 0 3303 1944
"2018-10-31" "1.13-0" 30 169 0 3304 1944
"2020-11-14" "1.18-0" 31 171 0 3354 1965
"2020-12-19" "1.19-0" 32 170 0 3330 1965
"2021-01-04" "1.20-0" 32 170 0 3330 1966
"2021-01-06" "1.20-1" 32 170 0 3330 1966
"2021-02-17" "2.0-1" 33 180 0 3549 1966
"2021-03-15" "2.1-0" 33 180 0 3549 1966
"2021-06-14" "2.2-0" 34 181 0 3568 2012
"2021-12-12" "2.3-0" 35 183 0 3594 2012
"2022-10-19" "3.0-1" 39 186 0 3642 2031
"2023-03-11" "3.0-2" 39 186 0 3655 2031
"2023-05-09" "3.0-3" 39 186 0 3667 2031
"2023-10-24" "3.0-4" 39 186 0 3670 2031
"2024-06-17" "3.0-5" 41 189 0 3688 2031
"2024-08-17" "3.1-0" 41 189 0 3613 2429
"2024-11-02" "3.1-1" 41 189 0 3614 2429
"2025-03-15" "3.1-3" 42 192 0 3650 2429
"2025-05-15" "3.1-4" 42 193 0 3689 2462
"2025-07-17" "3.1-5" 42 194 0 3703 2462
"2025-09-20" "3.2-0" 42 195 0 3716 2462
"2026-01-08" "3.2-1" 43 196 0 3754 2535
"2026-03-10" "3.2-2" 44 197 0 3778 2535
"2026-05-10" "3.2-3" 44 197 0 3817 2683
