"","X_WGS84","Y_WGS84","bio3","bio4","bio7","bio11","bio12"
"1",-94.5,82.000007823,9.571421866,13644.2869950226,446.428578134,-322.571488920286,102.714299125143
"2",-91.5,82.000007823,9.60001408140001,15221.8010889616,511.1000422442,-338.0998544922,99.8996198021998
"3",-88.5,82.000007823,9.13332707493333,15764.5976593584,526.266485173066,-344.333445984533,105.066845031067
"4",-85.5,82.000007823,8.7272641930909,15826.0878133165,525.454344901273,-350.227347401364,119.591084041636
"5",-82.5,82.000007823,8.53845431723077,15389.8060223981,511.461365152,-351.500119150308,154.692542382308
"6",-79.5,82.000007823,8.62068479951724,14915.9976514814,496.034290150965,-347.793127726552,174.896503167586
"7",-76.5,82.000007823,9.26664945606666,14589.6325322581,491.133178437933,-337.933569587933,181.367434885267
"8",-73.5,82.000007823,9.43333802713334,14622.6350043261,497.9,-339.533297347533,232.032776335733
"9",-70.5,82.000007823,10.300015646,14156.5347039229,487.633389658933,-318.233128370733,215.265558929866
"10",-67.5,82.000007823,11.2592557823704,13777.2624753815,475.592658653482,-302.5557294,198.44497467
"11",-64.5,82.000007823,12.31999436744,13292.7208467615,452.04002065272,-289.84005820312,196.00009763104
"12",-61.5,82.000007823,12.3333489793333,12798.5965610092,420.3999186408,-278.5998153772,210.665928175466
"13",-58.5,82.000007823,10.6111267571111,12962.1057497484,412.111030273444,-284.833080389667,265.387837999222
"14",-55.5,82.000007823,10.0000201162857,12853.805290449,404.999903888857,-278.571256465429,260.475457349333
"15",-52.5,82.000007823,11.1428683185714,11939.759653973,381.142807969714,-272.809429933524,254.18992411019
"16",-49.5,82.000007823,12.3913247556522,11086.4747935799,368.217358651826,-270.738865133043,258.216238262173
"17",-46.5,82.000007823,13.28000375504,10989.0369678052,366.4399342868,-267.1598404108,257.07920393152
"18",-43.5,82.000007823,13.9375014668125,10831.6853423188,364.218698661562,-261.499932526625,248.31207169075
"19",-40.5,82.000007823,13.3437514668125,11292.813227539,379.062549871625,-280.156226531,330.843387697312
"20",-37.5,82.000007823,13.9166692743333,11449.1122897764,389.9167618465,-276.999874832,312.6659013165
"21",-34.5,82.000007823,14.7222274375556,11262.8901835954,387.805672900556,-270.555418653055,273.221516848388
"22",-31.5,82.000007823,15.5000039115,11193.9461720236,389.500114737333,-264.722108788722,233.416163387
"23",-28.5,82.000007823,16.3333346371667,11340.2244661194,396.0001056105,-273.610965081778,220.277260155944
"24",-25.5,82.000007823,16.4516113890968,11316.1006412791,396.677579852516,-262.580746607936,182.387195192581
"25",-22.5,82.000007823,15.0869503993913,11733.9131353135,402.652202484,-256.130422537913,164.086852441826
"26",-19.5,82.000007823,13.5384615384615,12763.1492173449,437.846016642769,-266.153333446461,204.075601591692
"27",-16.5,82.000007823,13.6428571428571,11708.9273309243,408.999939651143,-231.500006705429,180.142739797857
"28",-13.5,82.000007823,11.8,9535.0010467174,330.4000375504,-197.5000422442,190.4999389806
"29",-10.5,82.000007823,10,8328,285,-175,216
"30",19.5,82.000007823,NA,NA,NA,NA,NA
"31",22.5,82.000007823,NA,NA,NA,NA,NA
"32",46.5,82.000007823,17,4785,214,-100,235
"33",49.5,82.000007823,17,4975.4008636592,222.8000375504,-108.4000563256,229.1999906124
"34",52.5,82.000007823,17,5208,233,-126,254
"35",55.5,82.000007823,16.75,6047.125751008,260.25002933625,-145.3751290795,233.000211221
"36",58.5,82.000007823,16.0000052153333,6658.88930611556,281.000041722667,-161.666770973333,219.666697958667
"37",61.5,82.000007823,16,6278.8004130544,273.0000375504,-155.3998497984,208.799624496
"38",64.5,82.000007823,15.8,6036.2010701864,267.6001032636,-157.1997559224,190.3995118448
"39",79.5,82.000007823,14,7281.5,283.5,-196.5,157.5
"40",91.5,82.000007823,16,9382,346,-239,122
"41",94.5,82.000007823,15.62501760175,9450.62474770825,349.75000586725,-255.7494484785,157.749008434749
"42",97.5,82.000007823,16,9596.24882655,354.999953062,-251.2497535755,160.7495658235
"43",-115.5,79.000007823,7.49997653099999,12008.500164283,370.5,-293.000023469,82.000023469
"44",-112.5,79.000007823,8.88888888888889,12945.666030396,417.388831520222,-299.722206576222,76.7777151937777
"45",-109.5,79.000007823,9.4,13295.5980004412,436.3998967364,-299.6000093876,71.6000187752
"46",-106.5,79.000007823,9,11624.5,367.5,-287.5,83
"47",-103.5,79.000007823,9.78571428571429,11756.7861970766,373.142863848286,-296.214336005,115.000033527143
"48",-100.5,79.000007823,9.999997066375,11746.6878931057,377.062497066375,-290.500049871625,113.18757627425
