"","X_WGS84","Y_WGS84","ConnochaetesGnou","GuloGulo","PantheraOnca","PteropusGiganteus","TenrecEcaudatus","VulpesVulpes"
"1",-94.5,82.000007823,0,0,0,0,0,0
"2",-91.5,82.000007823,0,1,0,0,0,0
"3",-88.5,82.000007823,0,1,0,0,0,0
"4",-85.5,82.000007823,0,1,0,0,0,0
"5",-82.5,82.000007823,0,1,0,0,0,0
"6",-79.5,82.000007823,0,1,0,0,0,0
"7",-76.5,82.000007823,0,1,0,0,0,0
"8",-73.5,82.000007823,0,1,0,0,0,0
"9",-70.5,82.000007823,0,1,0,0,0,0
"10",-67.5,82.000007823,0,1,0,0,0,0
"11",-64.5,82.000007823,0,1,0,0,0,0
"12",-61.5,82.000007823,0,1,0,0,0,0
"13",-58.5,82.000007823,0,0,0,0,0,0
"14",-55.5,82.000007823,0,0,0,0,0,0
"15",-52.5,82.000007823,0,0,0,0,0,0
"16",-49.5,82.000007823,0,0,0,0,0,0
"17",-46.5,82.000007823,0,0,0,0,0,0
"18",-43.5,82.000007823,0,0,0,0,0,0
"19",-40.5,82.000007823,0,0,0,0,0,0
"20",-37.5,82.000007823,0,0,0,0,0,0
"21",-34.5,82.000007823,0,0,0,0,0,0
"22",-31.5,82.000007823,0,0,0,0,0,0
"23",-28.5,82.000007823,0,0,0,0,0,0
"24",-25.5,82.000007823,0,0,0,0,0,0
"25",-22.5,82.000007823,0,0,0,0,0,0
"26",-19.5,82.000007823,0,0,0,0,0,0
"27",-16.5,82.000007823,0,0,0,0,0,0
"28",-13.5,82.000007823,0,0,0,0,0,0
"29",-10.5,82.000007823,0,0,0,0,0,0
"30",19.5,82.000007823,0,0,0,0,0,0
"31",22.5,82.000007823,0,0,0,0,0,0
"32",46.5,82.000007823,0,0,0,0,0,0
"33",49.5,82.000007823,0,0,0,0,0,0
"34",52.5,82.000007823,0,0,0,0,0,0
"35",55.5,82.000007823,0,0,0,0,0,0
"36",58.5,82.000007823,0,0,0,0,0,0
"37",61.5,82.000007823,0,0,0,0,0,0
"38",64.5,82.000007823,0,0,0,0,0,0
"39",79.5,82.000007823,0,0,0,0,0,0
"40",91.5,82.000007823,0,0,0,0,0,0
"41",94.5,82.000007823,0,0,0,0,0,0
"42",97.5,82.000007823,0,0,0,0,0,0
"43",-115.5,79.000007823,0,0,0,0,0,0
"44",-112.5,79.000007823,0,0,0,0,0,0
"45",-109.5,79.000007823,0,0,0,0,0,0
"46",-106.5,79.000007823,0,0,0,0,0,0
"47",-103.5,79.000007823,0,0,0,0,0,0
"48",-100.5,79.000007823,0,0,0,0,0,0
"49",-97.5,79.000007823,0,0,0,0,0,0
"50",-94.5,79.000007823,0,0,0,0,0,0
"51",-91.5,79.000007823,0,0,0,0,0,0
"52",-88.5,79.000007823,0,1,0,0,0,0
"53",-85.5,79.000007823,0,1,0,0,0,0
"54",-82.5,79.000007823,0,1,0,0,0,0
"55",-79.5,79.000007823,0,1,0,0,0,0
"56",-76.5,79.000007823,0,1,0,0,0,0
"57",-73.5,79.000007823,0,1,0,0,0,0
"58",-70.5,79.000007823,0,1,0,0,0,0
"59",-67.5,79.000007823,0,0,0,0,0,0
"60",-64.5,79.000007823,0,0,0,0,0,0
"61",-61.5,79.000007823,0,0,0,0,0,0
"62",-58.5,79.000007823,0,0,0,0,0,0
"63",-55.5,79.000007823,0,0,0,0,0,0
"64",-52.5,79.000007823,0,0,0,0,0,0
"65",-49.5,79.000007823,0,0,0,0,0,0
"66",-46.5,79.000007823,0,0,0,0,0,0
"67",-43.5,79.000007823,0,0,0,0,0,0
"68",-40.5,79.000007823,0,0,0,0,0,0
"69",-37.5,79.000007823,0,0,0,0,0,0
"70",-34.5,79.000007823,0,0,0,0,0,0
"71",-31.5,79.000007823,0,0,0,0,0,0
"72",-28.5,79.000007823,0,0,0,0,0,0
"73",-25.5,79.000007823,0,0,0,0,0,0
"74",-22.5,79.000007823,0,0,0,0,0,0
"75",-19.5,79.000007823,0,0,0,0,0,0
"76",-16.5,79.000007823,0,0,0,0,0,0
"77",10.5,79.000007823,0,0,0,0,0,0
"78",13.5,79.000007823,0,0,0,0,0,0
"79",16.5,79.000007823,0,0,0,0,0,0
"80",19.5,79.000007823,0,0,0,0,0,0
